metro_info,flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,year_of_bulding,price
"{'Underground name': ['Пионерская', 'Удельная', 'Лесная'], 'Underground time': ['22', '24', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,62.0,27.8,21.3,3,2023,20500000
"{'Underground name': ['Гражданский проспект', 'Академическая', 'Девяткино'], 'Underground time': ['12', '6', '7'], 'Transport type': ['legs', 'car', 'car']}",1,3-комнатная,82.0,45.2,12.6,2,2009,19999000
"{'Underground name': ['Приморская', 'Василеостровская', 'Крестовский остров'], 'Underground time': ['7', '12', '15'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,90.4,44.0,21.3,6,2023,19888000
"{'Underground name': ['Чернышевская', 'Новочеркасская', 'Площадь Александра Невского'], 'Underground time': ['4', '5', '5'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,85.0,56.2,5.0,2,1961,20500000
"{'Underground name': ['Чернышевская', 'Гостиный двор', 'Невский проспект'], 'Underground time': ['15', '17', '18'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,79.3,39.8,18.0,4,1859,19700000
"{'Underground name': ['Удельная', 'Площадь Мужества', 'Озерки'], 'Underground time': ['19', '6', '6'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,57.2,28.8,13.6,9,2023,20330000
"{'Underground name': ['Чкаловская', 'Петроградская', 'Спортивная'], 'Underground time': ['9', '11', '14'], 'Transport type': ['legs', 'legs', 'legs']}",1,5-комнатная,138.9,95.2,13.5,4,1911,19900000
"{'Underground name': ['Адмиралтейская', 'Гостиный двор', 'Спасская'], 'Underground time': ['15', '23', '23'], 'Transport type': ['legs', 'legs', 'legs']}",1,1-комнатная,38.0,23.0,8.0,3,1900,20000000
"{'Underground name': ['Петроградская', 'Чкаловская', 'Горьковская'], 'Underground time': ['8', '14', '23'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,77.4,31.8,27.7,6,1912,20599999
"{'Underground name': ['Электросила', 'Московские ворота', 'Фрунзенская'], 'Underground time': ['12', '13', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,61.3,32.5,12.2,2,2017,19599000
"{'Underground name': ['Горный институт', 'Приморская', 'Василеостровская'], 'Underground time': ['откроется', '25', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,80.7,57.7,8.4,4,1955,18970000
"{'Underground name': ['Черная речка', 'Лесная', 'Выборгская'], 'Underground time': ['12', '5', '6'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,46.5,19.7,12.7,8,2015,18200000
"{'Underground name': ['Приморская', 'Василеостровская', 'Спортивная'], 'Underground time': ['9', '13', '15'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,53.26,25.9,18.4,9,2025,20100000
"{'Underground name': ['Комендантский проспект', 'Старая Деревня', 'Беговая'], 'Underground time': ['8', '12', '13'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,72.9,50.0,15.0,9,2021,18900000
"{'Underground name': ['Горьковская', 'Петроградская', 'Чкаловская'], 'Underground time': ['8', '12', '18'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,50.8,25.4,15.1,4,1905,18380000
"{'Underground name': ['Улица Дыбенко', 'Проспект Большевиков', 'Ладожская'], 'Underground time': ['6', '6', '7'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,68.0,25.0,31.0,17,2009,18990000
"{'Underground name': ['Приморская', 'Спортивная', 'Василеостровская'], 'Underground time': ['16', '24', '25'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,63.0,31.0,10.4,12,2014,19799999
"{'Underground name': ['Электросила', 'Парк Победы', 'Московские ворота'], 'Underground time': ['15', '21', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,56.6,35.2,6.0,5,1961,9500000
"{'Underground name': ['Проспект Ветеранов', 'Ленинский проспект', 'Автово'], 'Underground time': ['7', '5', '8'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,48.3,30.5,6.3,1,1967,8800000
