flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,price,metro_station,minutes_to_metro,transfer_type,house_age,is_future_building
1,4-комнатная,141.1,73.0,22.7,17,29900000,Комендантский проспект,8,пешком,24,0
1,4-комнатная,98.0,37.0,34.5,2,32900000,Спасская,6,пешком,210,0
1,2-комнатная,57.79,25.2,15.8,2,31500000,Спортивная,19,пешком,0,1
1,4-комнатная,97.4,71.6,9.1,3,29990000,Электросила,10,пешком,71,0
1,2-комнатная,86.38,40.1,13.0,4,30310000,Приморская,7,на машине,2,0
1,3-комнатная,100.1,41.4,33.0,2,32940000,Василеостровская,8,пешком,112,0
1,4-комнатная,234.0,170.0,10.0,3,31963000,Купчино,18,на машине,68,0
1,1-комнатная,74.2,18.0,25.0,2,34900000,Петроградская,14,пешком,4,0
1,3-комнатная,126.8,52.3,14.9,4,34000000,Озерки,24,пешком,16,0
1,3-комнатная,85.3,49.0,12.0,3,30500000,Чернышевская,6,пешком,173,0
1,3-комнатная,122.2,42.1,21.0,11,31000000,Удельная,15,пешком,20,0
1,3-комнатная,100.6,47.5,24.7,16,34000000,Московские ворота,8,пешком,8,0
1,2-комнатная,78.6,42.4,14.3,4,32000000,Крестовский остров,21,пешком,4,0
1,2-комнатная,70.7,30.4,20.7,5,30966000,Петроградская,5,пешком,1,0
1,2-комнатная,92.0,40.8,23.7,4,37500000,Площадь Александра Невского,24,пешком,5,0
1,3-комнатная,84.5,33.3,38.5,2,36400000,Гостиный двор,8,пешком,227,0
1,2-комнатная,93.4,38.6,22.1,2,35000000,Выборгская,7,на машине,8,0
1,3-комнатная,99.9,45.9,25.3,3,36600000,Удельная,9,пешком,4,0
1,3-комнатная,115.4,66.4,15.6,8,35900000,Чкаловская,3,пешком,21,0
1,3-комнатная,76.0,36.0,25.0,6,37490000,Петроградская,16,пешком,5,0
1,3-комнатная,95.0,45.4,24.0,5,36250000,Крестовский остров,16,пешком,1,0
1,3-комнатная,127.0,73.6,14.9,2,37000000,Беговая,14,пешком,18,0
1,4-комнатная,158.1,99.0,18.0,8,37500000,Приморская,24,пешком,15,0
1,3-комнатная,90.1,53.6,20.0,4,35000000,Чернышевская,12,пешком,164,0
1,2-комнатная,80.0,30.0,28.0,6,37000000,Беговая,25,на машине,8,0
1,3-комнатная,80.3,31.5,26.6,2,35000000,Чкаловская,14,пешком,15,0
1,3-комнатная,122.1,88.5,12.0,3,35800000,Чернышевская,17,пешком,195,0
1,2-комнатная,70.0,36.9,16.3,8,36900000,Чкаловская,20,пешком,7,0
1,Неизвестно,155.5,110.0,15.0,4,35200000,Садовая,11,пешком,232,0
1,5-комнатная,154.8,112.6,11.7,4,35900000,Чернышевская,18,пешком,109,0
1,4-комнатная,183.5,100.7,50.2,4,38800000,Горьковская,4,пешком,123,0
1,3-комнатная,116.7,63.6,20.0,6,38000000,Маяковская,6,пешком,145,0
1,3-комнатная,89.9,40.8,22.1,12,37000000,Приморская,19,пешком,0,0
1,2-комнатная,92.9,41.0,17.5,2,39000000,Достоевская,4,пешком,140,0
1,3-комнатная,145.0,76.8,15.6,5,40000000,Площадь Восстания,19,пешком,19,0
0,1-комнатная,25.06,11.7,5.0,4,7621000,Беговая,17,на машине,0,0
1,3-комнатная,76.2,47.0,11.0,2,22860000,Гостиный двор,6,пешком,63,0
1,3-комнатная,126.7,54.0,21.2,2,35900000,Крестовский остров,18,пешком,4,0
0,1-комнатная,33.19,10.3,15.5,2,7850131,Проспект Ветеранов,18,на машине,0,1
1,2-комнатная,54.4,29.8,9.9,5,12299000,Проспект Ветеранов,12,на машине,11,0
0,3-комнатная,95.6,42.1,22.6,3,26286941,Елизаровская,6,пешком,0,1
1,Студия,24.75,15.9,3.0,13,4600000,Ломоносовская,21,пешком,2,0
1,1-комнатная,31.3,13.8,7.8,20,7400000,Проспект Просвещения,5,на машине,1,0
1,2-комнатная,88.3,48.9,14.5,2,25607000,Василеостровская,4,на машине,13,0
1,1-комнатная,36.0,18.1,8.0,14,6900000,Проспект Большевиков,8,пешком,37,0
1,1-комнатная,30.0,17.0,8.0,1,8250000,Проспект Ветеранов,11,на машине,5,0
1,3-комнатная,54.9,29.6,17.2,4,10557270,Беговая,13,на машине,2,0
1,3-комнатная,97.1,47.7,26.9,5,35829900,Удельная,19,пешком,2,0
0,1-комнатная,31.6,14.1,10.1,16,9550073,Проспект Большевиков,6,на машине,0,1
1,1-комнатная,30.8,15.6,8.4,2,5750000,Проспект Славы,14,пешком,59,0
0,2-комнатная,82.45,25.1,27.7,6,39576000,Василеостровская,18,пешком,0,0
0,3-комнатная,74.4,33.4,21.3,4,23248511,Приморская,5,на машине,0,0
0,1-комнатная,33.34,14.4,10.6,8,9705161,Звездная,4,на машине,1,0
0,2-комнатная,59.0,29.6,15.4,7,31329000,Василеостровская,4,на машине,0,1
0,3-комнатная,94.6,40.4,33.3,3,38643463,Новочеркасская,13,пешком,1,0
1,2-комнатная,62.2,31.0,13.2,6,9500000,Ленинский проспект,15,на машине,9,0
1,1-комнатная,45.8,18.1,10.9,1,8300000,Проспект Большевиков,18,пешком,22,0
0,2-комнатная,51.32,21.0,16.5,20,10002268,Академическая,15,на машине,1,0
1,3-комнатная,78.4,40.0,30.0,20,21000000,Комендантский проспект,5,на машине,9,0
1,Студия,27.3,17.3,5.0,16,6800000,Ленинский проспект,5,на машине,13,0
1,2-комнатная,45.8,30.0,7.0,3,6300000,Ломоносовская,4,на машине,62,0
0,2-комнатная,57.9,27.6,10.8,2,16275370,Звездная,4,на машине,1,0
0,1-комнатная,42.61,12.9,18.5,3,21283695,Василеостровская,4,на машине,0,1
0,1-комнатная,33.2,10.2,16.3,2,6261520,Ломоносовская,6,на машине,0,1
0,3-комнатная,78.91,32.8,20.4,2,28139306,Площадь Ленина,22,пешком,0,1
1,2-комнатная,70.0,37.8,14.4,4,32000000,Крестовский остров,19,пешком,4,0
0,Студия,20.6,9.1,6.1,4,8073181,Приморская,5,на машине,0,1
0,1-комнатная,32.7,10.0,15.3,1,6600200,Купчино,20,на машине,0,0
1,1-комнатная,38.4,19.9,10.2,12,6600000,Комендантский проспект,11,пешком,38,0
0,1-комнатная,36.5,13.2,16.4,14,6613800,Ломоносовская,6,на машине,0,1
0,1-комнатная,44.06,13.2,17.0,3,6599300,Рыбацкое,17,на машине,0,1
0,1-комнатная,36.0,13.0,16.3,4,6523200,Ломоносовская,6,на машине,0,1
0,1-комнатная,35.0,11.1,16.9,24,6538000,Ломоносовская,6,на машине,0,1
1,1-комнатная,44.0,18.7,13.7,6,6700000,Проспект Просвещения,13,на машине,6,0
0,1-комнатная,36.56,12.1,12.1,1,6612612,Звездная,14,на машине,0,0
1,1-комнатная,32.8,12.5,13.8,5,6590000,Комендантский проспект,7,на машине,3,0
1,2-комнатная,46.0,28.4,7.1,9,6550000,Шушары,22,на машине,40,0
0,1-комнатная,32.02,10.0,15.3,1,6500100,Московская,18,на машине,0,0
1,2-комнатная,47.9,27.9,9.2,4,6501500,Шушары,16,на машине,4,0
0,Студия,25.78,14.4,5.3,3,6550698,Автово,6,на машине,0,0
1,1-комнатная,31.82,17.9,5.6,4,6600000,Шушары,20,на машине,56,0
1,2-комнатная,37.3,24.1,7.2,11,6500000,Гражданский проспект,12,на машине,2,0
0,Студия,36.0,21.0,7.0,8,6621676,Парнас,23,на машине,1,0
1,1-комнатная,41.0,21.0,10.0,6,6690000,Звездная,7,пешком,31,0
